qid,img,width,height,orientation,n_main,fb_external_1,fb_external_2,fb_external_3,fb_external_4,fb_external_5,fb_comment_1,fb_comment_2,fb_post,comment,edge,external,fb_home,comment_truth,external_truth,edge_truth,code_id
1,1645329081000-2022-02-20-11-51-21-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,500,
1,1645329082000-2022-02-20-11-51-22-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1,1645329083000-2022-02-20-11-51-23-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1,1645329084000-2022-02-20-11-51-24-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1,1645329085000-2022-02-20-11-51-25-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1,1645329086000-2022-02-20-11-51-26-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1,1645329087000-2022-02-20-11-51-27-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1,1645329088000-2022-02-20-11-51-28-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1,1645329089000-2022-02-20-11-51-29-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1,1645329090000-2022-02-20-11-51-30-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1,1645329091000-2022-02-20-11-51-31-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1,1645329092000-2022-02-20-11-51-32-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1,1645329093000-2022-02-20-11-51-33-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1,1645329094000-2022-02-20-11-51-34-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1,1645329095000-2022-02-20-11-51-35-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1,1645329096000-2022-02-20-11-51-36-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1,1645329097000-2022-02-20-11-51-37-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1,1645329098000-2022-02-20-11-51-38-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1,1645329099000-2022-02-20-11-51-39-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1,1645329100000-2022-02-20-11-51-40-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1,1645329101000-2022-02-20-11-51-41-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1,1645329102000-2022-02-20-11-51-42-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0.2311340868,0,95,0,0,,,100,
1,1645329103000-2022-02-20-11-51-43-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,50_300,
1,1645329104000-2022-02-20-11-51-44-479-Facebook.jpg,360,728,0,2,0,0,0,0,0,0.6221133471,0,0,0.6221133471,,0,0,,,,
1,1645329105000-2022-02-20-11-51-45-479-Facebook.jpg,360,728,0,2,0,0,0,0,0,0.6221133471,0,0,0.6221133471,,0,0,,,,
2,1650722565000-2022-04-23-22-02-45-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.7891623974,0,603,0,0.9913067818,,,,
2,1650722566000-2022-04-23-22-02-46-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.953473568,0,781,0,0.9544861317,,,,
2,1650722567000-2022-04-23-22-02-47-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.990252614,0,134,0,0.9775848985,,,,
2,1650722568000-2022-04-23-22-02-48-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0,0,,0,0.9193422794,,,,
2,1650722569000-2022-04-23-22-02-49-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0,0,,0,0.967331171,,,,
2,1650722570000-2022-04-23-22-02-50-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0,0,,0,0.967331171,,,,
2,1650722571000-2022-04-23-22-02-51-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0,0,,0,0.9348966479,,,,
2,1650722573000-2022-04-23-22-02-53-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0,0,,0,0.9348966479,,,,
2,1650722574000-2022-04-23-22-02-54-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.9712948799,0,272,0,0.9791246057,,,,
2,1650722575000-2022-04-23-22-02-55-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.9963967204,0,122,0,0.9491297007,,,,
2,1650722576000-2022-04-23-22-02-56-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.996370554,0,122,0,0.9491280913,,,,
2,1650722578000-2022-04-23-22-02-58-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.9651093483,0,682,0,0.9778401256,,,,
2,1650722579000-2022-04-23-22-02-59-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.9887698293,0,481,0,0.8830223083,,,,
2,1650722580000-2022-04-23-22-03-00-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.936634481,0,263,0,0.9852718711,,,,
2,1650722581000-2022-04-23-22-03-01-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0,0,,0,0.9814981222,,,,
2,1650722582000-2022-04-23-22-03-02-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0,0,,0,0.9834759831,,,,
2,1650722584000-2022-04-23-22-03-04-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.9898354411,0,361,0,0.9598465562,,,,
2,1650722585000-2022-04-23-22-03-05-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.9644912481,0,221,0,0.9924762845,,,,
2,1650722586000-2022-04-23-22-03-06-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.9625891447,0,312,0,0.9567625523,,,,
2,1650722587000-2022-04-23-22-03-07-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.9946022033691406_0.8319845795631409,0,168_883,0,0.9873634577,,,,
2,1650722588000-2022-04-23-22-03-08-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.841748178,0,937,0,0.9534767866,,,,
2,1650722589000-2022-04-23-22-03-09-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.9599193931,0,751,0,0.9513998032,,,,
2,1650722590000-2022-04-23-22-03-10-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0,0,,0,0.878180325,,,,
2,1650722591000-2022-04-23-22-03-11-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.9877232909,0,199,0,0.9497615099,,,,
2,1650722592000-2022-04-23-22-03-12-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.9811240435,0,316,0,0.9624687433,,,,
3,1651995779000-2022-05-08-15-42-59-342-Facebook.jpg,360,698,0,0,0,0,0,0,0,0,0,0.9961367249,0,540,0,0.9811909795,,,,
3,1651995781000-2022-05-08-15-43-01-342-Facebook.jpg,360,698,0,0,0,0,0,0,0,0,0,0,0,,0,0.9700990319,,,,
3,1651997754000-2022-05-08-16-15-54-343-Facebook.jpg,360,698,0,0,0,0,0,0,0,0,0,0.9979397058,0,416,0,0.9880196452,,,,
3,1651997755000-2022-05-08-16-15-55-343-Facebook.jpg,360,698,0,0,0,0,0,0,0,0,0,0.9883705974,0,377,0,0.9781493545,,,,
3,1651997756000-2022-05-08-16-15-56-343-Facebook.jpg,360,698,0,0,0,0,0,0,0,0,0,0.9979881644,0,286,0,0.9828833938,,,,
3,1651997757000-2022-05-08-16-15-57-343-Facebook.jpg,360,698,0,0,0,0,0,0,0,0,0,0.9988231659,0,267,0,0.9942352772,,,,
3,1651997758000-2022-05-08-16-15-58-343-Facebook.jpg,360,698,0,0,0,0,0,0,0,0,0,0.9991071224,0,253,0,0.9918447733,,,,
3,1651997759000-2022-05-08-16-15-59-343-Facebook.jpg,360,698,0,0,0,0,0,0,0,0,0,0.9971926212,0,242,0,0.9869408011,,,,
3,1651997760000-2022-05-08-16-16-00-343-Facebook.jpg,360,698,0,0,0,0,0,0,0,0,0,0,0,,0,0.996699214,,,,
3,1651997761000-2022-05-08-16-16-01-343-Facebook.jpg,360,698,0,0,0,0,0,0,0,0,0,0.9883874655,0,615,0,0.996699214,,,,
3,1651997762000-2022-05-08-16-16-02-343-Facebook.jpg,360,698,0,0,0,0,0,0,0,0,0,0.9915494919,0,632,0,0.9771258235,,,,
3,1651997763000-2022-05-08-16-16-03-343-Facebook.jpg,360,698,0,0,0,0,0,0,0,0,0,0.9966832399368286_0.9819735288619995,0,167_599,0,0.9905316234,,,,
3,1651997764000-2022-05-08-16-16-04-343-Facebook.jpg,360,698,0,0,0,0,0,0,0,0,0,0.99454391,0,433,0,0.9827091098,,,,
3,1651997766000-2022-05-08-16-16-06-343-Facebook.jpg,360,698,0,0,0,0,0,0,0,0,0,0,0,,0,0.9665206671,,,,
3,1651997767000-2022-05-08-16-16-07-343-Facebook.jpg,360,698,0,0,0,0,0,0,0,0,0,0.9982046485,0,222,0,0.9946513772,,,,
3,1651997768000-2022-05-08-16-16-08-343-Facebook.jpg,360,698,0,0,0,0,0,0,0,0,0,0.9932088256,0,390,0,0.9840891957,,,,
3,1651997769000-2022-05-08-16-16-09-343-Facebook.jpg,360,698,0,0,0,0,0,0,0,0,0,0.9960872531,0,372,0,0.989099443,,,,
3,1651997771000-2022-05-08-16-16-11-343-Facebook.jpg,360,698,0,0,0,0,0,0,0,0,0,0.9909498096,0,311,0,0.9828997254,,,,
3,1651997772000-2022-05-08-16-16-12-343-Facebook.jpg,360,698,0,0,0,0,0,0,0,0,0,0.9982523322,0,234,0,0.9603309035,,,,
3,1651997773000-2022-05-08-16-16-13-343-Facebook.jpg,360,698,0,0,0,0,0,0,0,0,0,0,0,,0,0.9787516594,,,,
3,1651997775000-2022-05-08-16-16-15-343-Facebook.jpg,360,698,0,0,0,0,0,0,0,0,0,0.9985128045,0,281,0,0.9844411612,,,,
3,1651997777000-2022-05-08-16-16-17-343-Facebook.jpg,360,698,0,0,0,0,0,0,0,0,0,0,0,,0,0.9885614514,,,,
3,1651997783000-2022-05-08-16-16-23-343-Facebook.jpg,360,698,0,0,0,0,0,0,0,0,0,0.9930375814,0,171,0,0,,,,
3,1651997784000-2022-05-08-16-16-24-343-Facebook.jpg,360,698,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
3,1651997786000-2022-05-08-16-16-26-343-Facebook.jpg,360,698,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
4,1653320231000-2022-05-23-23-37-11-1367-Facebook.jpg,540,1080,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
4,1653320232000-2022-05-23-23-37-12-1367-Facebook.jpg,540,1080,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
4,1653320233000-2022-05-23-23-37-13-1367-Facebook.jpg,540,1080,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
4,1653320234000-2022-05-23-23-37-14-1367-Facebook.jpg,540,1080,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
4,1653320235000-2022-05-23-23-37-15-1367-Facebook.jpg,540,1080,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
4,1653320236000-2022-05-23-23-37-16-1367-Facebook.jpg,540,1080,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
4,1653320237000-2022-05-23-23-37-17-1367-Facebook.jpg,540,1080,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
4,1653320238000-2022-05-23-23-37-18-1367-Facebook.jpg,540,1080,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
4,1653320239000-2022-05-23-23-37-19-1367-Facebook.jpg,540,1080,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
4,1653320240000-2022-05-23-23-37-20-1367-Facebook.jpg,540,1080,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
4,1653320241000-2022-05-23-23-37-21-1367-Facebook.jpg,540,1080,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
